transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
B0041.8	137.21966607670143	0.15304847569725033	0.22752902783557566	0.6726547252153301	0.5011669772817663	0.999784205248708
B0041.9	0.0					
B0047.1.1	0.33164454065682	-1.880644868514417	4.04430501311305	-0.46501064148641347	0.6419238360038375	
B0047.2	2.002868326772239	-1.6238552768339594	1.2951088754865616	-1.2538368839638216	0.20990129982628725	
B0047.3.1	2.8421565408785177	-4.978416018817356	2.198488711018536	-2.2644719501474766	0.023545103061264942	
B0047.4.1	0.1688456845263224	-1.0003677210477981	4.425435728139109	-0.22604954235059055	0.8211628881794233	
B0047.5	2.172820631169053	-4.591028873694764	2.2792332974734144	-2.014286505371798	0.04397946194333583	
B0198.1.1	1.3260497001863485	-0.04089758637876136	1.4720925950256405	-0.02778193879716447	0.9778360711547283	
B0198.10	0.0					
B0198.2a.1	0.3351714663322727	-1.8934740789530398	4.035197219271736	-0.46923953801067747	0.6388984271818249	
B0198.2b.1	1.1528759954004337	0.3699115984624846	1.557731636997797	0.23746811689297914	0.8122936508964642	
B0198.3a.1	0.6636183499237495	-0.033353603919241886	2.227027747074815	-0.014976734781617162	0.9880507412564485	
B0198.3a.2	0.0					
B0198.3b	0.15804197034538467	0.923206431070327	4.425441490550883	0.2086134079597571	0.8347500428276355	
B0198.4	0.31608394069076934	1.776478147916339	4.326640377970017	0.41059066451689497	0.6813727102041314	
B0198.5	0.0					
B0198.6	0.0					
B0198.7	0.0					
B0198.8	0.0					
B0198.9	0.0					
B0205.10.1	4.37442250705299	-3.6437785657821995	1.3492693410743593	-2.7005568531490023	0.006922350466301761	0.1402383164490539
B0205.10.2	0.3376913690526448	-1.9029426828360956	4.32247528391796	-0.440243739487907	0.6597605836471929	
B0205.11	79.15984777779121	-0.17473270194804214	0.22539411327929174	-0.7752318789778075	0.4382026539766286	0.999784205248708
