transcript	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
B0041.12.1	0.0					
B0041.2a.1	2.095626868097628	2.3936715347955015	2.029785318101598	1.1792732529143706	0.23828938524281917	
B0041.2a.2	0.0					
B0041.2b.1	18.77904662501574	0.059441284177087314	0.430062507839881	0.1382154526225714	0.8900701428824203	0.9999892319025653
B0041.2c	0.0					
B0041.2d.1	36.287490859090795	-0.0653516344987674	0.42733378629660707	-0.1529287797838845	0.8784544398702949	0.9999892319025653
B0041.2e	20.41011141842635	-0.235856971744158	0.42267587616751606	-0.5580090680422048	0.576838192031704	0.9999892319025653
B0041.2f.1	0.0					
B0041.2g	2.6562413432853944	0.34784296646480906	1.086713021888851	0.3200872350459295	0.7489022019857294	
B0041.3.1	10.309664812138903	0.2621407148266879	0.5672784994937726	0.46210232727067346	0.6440079413436894	0.9999892319025653
B0041.4	2813.11109011883	0.000835816464464733	0.20010211300632144	0.004176949717858945	0.9966672859997996	0.9999892319025653
B0041.5a.1	48.99119243147627	-0.008954344363142816	0.27501579033183865	-0.03255938268976612	0.974025960561508	0.9999892319025653
B0041.5c.1	5.161205687934408	-0.4962967466044985	0.8297237092798435	-0.5981469988790099	0.5497418526713604	0.9999892319025653
B0041.6a.1	9.171813090801342	-0.17804116302111722	0.6297536887711364	-0.2827155540264259	0.7773948920890622	0.9999892319025653
B0041.6b.1	8.301999147564768	0.6903728737838348	0.652757335979153	1.0576256071458126	0.29022616335164364	0.9999892319025653
B0041.7	39.51964616198782	0.14944596740334612	0.3027630608195234	0.49360700410024805	0.6215837532930639	0.9999892319025653
B0041.8	123.29113767795916	-0.14456978307409038	0.1958139784946348	-0.738301648255676	0.4603311651144043	0.9999892319025653
B0041.9	0.0					
B0047.1.1	0.33162573505056286	-1.8640979537394105	4.201398976931277	-0.44368505918496626	0.6572702990105737	
B0047.2	1.5061724968664763	-4.045464846759841	2.442550587113009	-1.6562460847705138	0.0976719940158861	
B0047.3.1	2.834625924219303	-4.958703216044097	2.2331902015424747	-2.220457179428379	0.026387749321662206	
B0047.4.1	0.16848127675435418	-0.9794434622685577	4.425477742143274	-0.22131926073007654	0.8248438539149854	
B0047.5	2.166037635660031	-4.570772613978788	2.321931658006931	-1.9685215963256157	0.04900805374025597	
B0198.1.1	2.142373772382856	1.1407856802664964	1.2698247331170214	0.8983804225219534	0.3689827701325029	
B0198.10	0.0					
B0198.2a.1	0.49163352876238564	-0.9100930269314375	2.954653991051147	-0.30802017078407984	0.7580669839765777	
B0198.2b.1	0.998384794648226	-0.01762862602385499	1.6974674390592326	-0.010385251356353023	0.9917139172300731	
B0198.3a.1	0.8299035178938717	0.5700565693147313	1.9566938165578114	0.2913366232830269	0.7707938803004559	
B0198.3a.2	0.0					
B0198.3b	0.16306579216504646	0.9441306898495685	4.4254826242254115	0.21333959931993154	0.8310620886370186	
B0198.4	0.0					
B0198.5	0.0					
B0198.6	0.0					
B0198.7	0.0					
B0198.8	0.0					
B0198.9	0.0					
B0205.10.1	7.464915894993683	-0.22653117887854157	0.7459531766193251	-0.30368015845871915	0.7613715757982606	0.9999892319025653
B0205.10.2	1.3589024401007617	1.595432564737955	1.95458349971349	0.8162519355002329	0.4143560582701036	
B0205.11	81.23773817802038	-0.08538123589638019	0.22079069744665095	-0.3867066723543034	0.6989733759252797	0.9999892319025653
B0205.12.1	82.73404388915374	0.13040006936804482	0.2594584463878399	0.5025855630582251	0.6152556815679436	0.9999892319025653
B0205.13.1	6.533340797697426	-1.9890194107910584	0.9728442967441381	-2.044540341602248	0.04090019629626969	0.9999892319025653
B0205.14.1	0.33891304065928335	-1.8910964898342755	4.180097742428264	-0.45240484944634746	0.6509773540415278	
B0205.14.2	0.16314445829620866	-0.9794434622685573	4.425477742143273	-0.2213192607300765	0.8248438539149855	
B0205.15	0.0					
B0205.16	0.0					
B0205.1a	22.581591894262846	0.06499098903866028	0.4017508794119743	0.16176937592217552	0.8714874698275229	0.9999892319025653
B0205.1b.1	8.022280165794385	-0.3696375240727935	0.7362293760696699	-0.5020684260740697	0.6156193891625847	0.9999892319025653
B0205.2a.1	0.0					
B0205.2b.1	0.0					
B0205.3	132.35847610476858	-0.04641693507879943	0.19996377301120988	-0.2321267216547135	0.8164395907611499	0.9999892319025653
B0205.4.1	0.0					
B0205.5.1	15.69670710363251	-0.3148969555462827	0.618950973181231	-0.5087591250205205	0.6109210735634667	0.9999892319025653
B0205.6	44.85371971194561	-0.02034977337634926	0.2854306559208914	-0.07129498165042687	0.9431629891306909	0.9999892319025653
B0205.7.1	192.69315567065306	-0.1573130900589785	0.17179701584697538	-0.9156916334280327	0.35982865447808043	0.9999892319025653
B0205.8	92.44555457759117	-0.14030905730811616	0.22729626675156053	-0.6172959165294027	0.5370395597636948	0.9999892319025653
B0205.9	41.23792386256695	0.2405452423343702	0.29954913211204826	0.8030243340661481	0.42196066981462754	0.9999892319025653
B0207.1.1	0.6721745441869708	-0.022502828141186728	2.31019944463704	-0.00974064303990091	0.9922282142043691	
B0207.10.1	1.0397298285250425	1.0388174563049926	2.4922873402286765	0.4168128768850855	0.6768152829645544	
