Name	Project	Life Stage			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0004015.SRP029448.SRX343218	RNASeq_Study.SRP029448	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0004015.SRP029448.SRX343219	RNASeq_Study.SRP029448	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0004015.SRP045110.SRX666563	RNASeq_Study.SRP045110	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0004015.SRP045110.SRX666565	RNASeq_Study.SRP045110	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0004015.SRP045110.SRX666567	RNASeq_Study.SRP045110	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0006770.SRP045110.SRX666564	RNASeq_Study.SRP045110	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0006770.SRP045110.SRX666566	RNASeq_Study.SRP045110	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0006770.SRP045110.SRX666568	RNASeq_Study.SRP045110	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0007833.SRP029448.SRX343215	RNASeq_Study.SRP029448	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0007833.SRP029448.SRX343216	RNASeq_Study.SRP029448	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0007833.SRP042619.SRX559707	RNASeq_Study.SRP042619	2-cell embryo Ce			
RNASeq.elegans.WBStrain00000001.WBls:0000007.Hermaphrodite.WBbt:0007833.SRP042619.SRX559708	RNASeq_Study.SRP042619	2-cell embryo Ce			
